dataset,condition,classifier,GM,Kappa,MCC,F1,Precision,Recall
cardiotocography,Original,RF,0.5657340353566294,0.5160106564444092,0.5630335740769247,0.5194285714285715,0.84,0.39833333333333326
cardiotocography,Original,SGD-LR,0.4200420688523844,0.24893879857444556,0.2672942666704497,0.25734307359307357,0.27391810966810964,0.32
cardiotocography,Original,SVM,0.0,0.0,0.0,0.0,0.0,0.0
cardiotocography,Original,XGBoost,0.7377537626043665,0.6585796930088127,0.6857738463041255,0.6630634920634921,0.861,0.5783333333333333
cardiotocography,RN-SMOTE,AdaBoost,0.8396697836160412,0.5633907319244676,0.5868630406753267,0.5736222666222666,0.5053982683982684,0.7366666666666667
cardiotocography,RN-SMOTE,CART,0.722571104986896,0.5303529053182596,0.5414926413268532,0.5391990231990232,0.5443333333333333,0.5783333333333333
cardiotocography,RN-SMOTE,GB,0.7897415289742237,0.6644171104747852,0.6798247077347347,0.6703650793650793,0.755,0.6483333333333333
cardiotocography,RN-SMOTE,KNN,0.7979178490997008,0.42011894616928325,0.4584496464998976,0.4354404419110301,0.32545598845598844,0.705
cardiotocography,RN-SMOTE,NB,0.7961292038407121,0.14597300017402776,0.24266796589848905,0.17540905068064866,0.09964225029057266,0.775
cardiotocography,RN-SMOTE,RF,0.7428091279045134,0.659160271040856,0.6816974921151129,0.6637777777777778,0.8243333333333334,0.5966666666666667
cardiotocography,RN-SMOTE,SGD-LR,0.7566354069488448,0.2853269456044849,0.34972236954827346,0.3055849025351214,0.241946202042004,0.6983333333333333
cardiotocography,RN-SMOTE,SVM,0.8246568899891367,0.247171902064374,0.3294811658070177,0.271078007927389,0.1685175551972552,0.7616666666666667
cardiotocography,RN-SMOTE,XGBoost,0.7794122588063821,0.6817906045751859,0.7007513802615515,0.6869047619047619,0.8086666666666666,0.6433333333333333
cardiotocography,SMOTE,AdaBoost,0.8231045635249015,0.5462303403517226,0.5680881064768117,0.5565708735708735,0.4874523809523809,0.7133333333333333
cardiotocography,SMOTE,CART,0.7151399188127899,0.5201390689432815,0.5314472933727096,0.5294285714285715,0.549047619047619,0.555
cardiotocography,SMOTE,GB,0.7798899310380617,0.6618901485767911,0.677345094435368,0.6677460317460318,0.755,0.6433333333333333
cardiotocography,SMOTE,KNN,0.7975281010595789,0.4116854488817234,0.4514077590846406,0.427311903782492,0.315027417027417,0.705
